quarter,gdp_yoy,yoy_source,gdp_qoq,qoq_source,note
2020Q2,-5.32,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/Unit_Kerja/Dit%20PMAS/Laporan%20Perkembangan%20Ekonomi%20Indonesia%20dan%20Dunia%20Triwulan%20III%20Tahun%202022.pdf,-4.19,https://tradingeconomics.com/indonesia/gdp-growth,
2020Q3,-3.49,https://www.bps.go.id/id/pressrelease/2020/11/05/1738/ekonomi-indonesia-triwulan-iii-2020-tumbuh-5-05-persen--q-to-q-.html,5.05,https://www.bps.go.id/id/pressrelease/2020/11/05/1738/ekonomi-indonesia-triwulan-iii-2020-tumbuh-5-05-persen--q-to-q-.html,
2020Q4,-2.19,https://www.bps.go.id/id/pressrelease/2021/02/05/1811/ekonomi-indonesia-2020-turun-sebesar-2-07-persen--c-to-c-.html,-0.42,https://www.bps.go.id/id/pressrelease/2021/02/05/1811/ekonomi-indonesia-2020-turun-sebesar-2-07-persen--c-to-c-.html,spoken variant 0.40 in Setkab press piece same date
2021Q1,-0.74,https://www.bps.go.id/id/pressrelease/2021/05/05/1812/ekonomi-indonesia-triwulan-i-2021-turun-0-74-persen--y-on-y-.html,-0.96,https://www.bps.go.id/id/pressrelease/2021/05/05/1812/ekonomi-indonesia-triwulan-i-2021-turun-0-74-persen--y-on-y-.html,TE chart shows -0.92 here; BPS release wins
2021Q2,7.07,https://setkab.go.id/bps-ekonomi-indonesia-triwulan-ii-2021-tumbuh-707-persen,3.31,https://setkab.go.id/bps-ekonomi-indonesia-triwulan-ii-2021-tumbuh-707-persen,
2021Q3,3.51,https://www.bi.go.id/en/publikasi/laporan/Documents/4_LPI2022_EN_CHAPTER_2.pdf,1.55,https://tradingeconomics.com/indonesia/gdp-growth,
2021Q4,5.02,https://www.bps.go.id/id/pressrelease/2022/02/07/1911/ekonomi-indonesia-triwulan-iv-2021-tumbuh-5-02-persen--y-on-y-.html,1.06,https://www.bps.go.id/id/pressrelease/2022/02/07/1911/ekonomi-indonesia-triwulan-iv-2021-tumbuh-5-02-persen--y-on-y-.html,
2022Q1,5.01,https://www.bps.go.id/id/pressrelease/2022/05/09/1912/pertumbuhan-ekonomi-indonesia-triwulan-i-2022.html,-0.96,https://www.bps.go.id/id/pressrelease/2022/05/09/1912/pertumbuhan-ekonomi-indonesia-triwulan-i-2022.html,TE chart shows -0.95 here; BPS release wins
2022Q2,5.44,https://lpem.org/wp-content/uploads/2022/11/Indonesia_Economic_Outlook_2023_ID.pdf,3.72,https://tradingeconomics.com/indonesia/gdp-growth,BI LPI2022 table shows revised 5.45 yoy; original BPS release 5.44 kept
2022Q3,5.72,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/Unit_Kerja/Dit%20PMAS/Laporan%20Perkembangan%20Ekonomi%20Indonesia%20dan%20Dunia%20Triwulan%20III%20Tahun%202022.pdf,1.83,https://tradingeconomics.com/indonesia/gdp-growth,
2022Q4,5.01,https://www.bps.go.id/en/pressrelease/2023/02/06/1997/indonesia-gdp-growth-rate-5-31-percent--2022-.html,0.36,https://www.bps.go.id/en/pressrelease/2023/02/06/1997/indonesia-gdp-growth-rate-5-31-percent--2022-.html,
2023Q1,5.03,https://www.bps.go.id/id/pressrelease/2023/05/05/1998/ekonomi-indonesia-triwulan-i-2023-tumbuh-5-03-persen--y-on-y-.html,-0.92,https://www.bps.go.id/id/pressrelease/2023/05/05/1998/ekonomi-indonesia-triwulan-i-2023-tumbuh-5-03-persen--y-on-y-.html,TE chart shows -0.91 here; BPS release wins
2023Q2,5.17,https://www.bps.go.id/id/pressrelease/2023/08/07/1999/ekonomi-indonesia-triwulan-ii-2023-tumbuh-5-17-persen--y-on-y-.html,3.86,https://www.bps.go.id/id/pressrelease/2023/08/07/1999/ekonomi-indonesia-triwulan-ii-2023-tumbuh-5-17-persen--y-on-y-.html,
2023Q3,4.94,https://www.bps.go.id/id/infographic?id=918,1.6,https://tradingeconomics.com/indonesia/gdp-growth,
2023Q4,5.04,https://www.bps.go.id/id/pressrelease/2024/02/05/2379/ekonomi-indonesia-triwulan-iv-2023-tumbuh-5-04-persen--y-on-y-.html,0.45,https://tradingeconomics.com/indonesia/gdp-growth,
2024Q1,5.11,https://www.bps.go.id/en/pressrelease/2024/05/06/2380/indonesia-s-gdp-growth-in-q1-2024-was-5-11-percent--y-on-y--and-indonesia-s-gdp-growth-in-q1-2024-was--0-83-percent--q-to-q--.html,-0.83,https://www.bps.go.id/en/pressrelease/2024/05/06/2380/indonesia-s-gdp-growth-in-q1-2024-was-5-11-percent--y-on-y--and-indonesia-s-gdp-growth-in-q1-2024-was--0-83-percent--q-to-q--.html,
2024Q2,5.05,https://www.bps.go.id/id/pressrelease/2024/08/05/2381/ekonomi-indonesia-triwulan-ii-2024-tumbuh-3-79-persen--q-to-q---ekonomi-indonesia-triwulan-ii-2024-tumbuh-5-05-persen--y-on-y---dan-ekonomi-indonesia-semester-i-2024-tumbuh-5-08-persen--c-to-c-.html,3.79,https://www.bps.go.id/id/pressrelease/2024/08/05/2381/ekonomi-indonesia-triwulan-ii-2024-tumbuh-3-79-persen--q-to-q---ekonomi-indonesia-triwulan-ii-2024-tumbuh-5-05-persen--y-on-y---dan-ekonomi-indonesia-semester-i-2024-tumbuh-5-08-persen--c-to-c-.html,
2024Q3,4.95,https://www.bps.go.id/id/pressrelease/2024/11/05/2382/ekonomi-indonesia-triwulan-iii-2024-tumbuh-1-50-persen--q-to-q-.html,1.5,https://www.bps.go.id/id/pressrelease/2024/11/05/2382/ekonomi-indonesia-triwulan-iii-2024-tumbuh-1-50-persen--q-to-q-.html,
2024Q4,5.02,https://www.bps.go.id/id/pressrelease/2025/02/05/2408/ekonomi-indonesia-tahun-2024-tumbuh-5-03-persen--c-to-c---ekonomi-indonesia-triwulan-iv-2024-tumbuh-5-02-persen--y-on-y---ekonomi-indonesia-triwulan-iv-2024-tumbuh-0-53-persen--q-to-q--.html,0.53,https://www.bps.go.id/id/pressrelease/2025/02/05/2408/ekonomi-indonesia-tahun-2024-tumbuh-5-03-persen--c-to-c---ekonomi-indonesia-triwulan-iv-2024-tumbuh-5-02-persen--y-on-y---ekonomi-indonesia-triwulan-iv-2024-tumbuh-0-53-persen--q-to-q--.html,
2025Q1,4.87,https://www.bps.go.id/id/news/2025/05/05/703/ekonomi-indonesia-tetap-tumbuh-di-tengah-ketidakpastian-global.html,-0.98,https://www.bps.go.id/id/news/2025/05/05/703/ekonomi-indonesia-tetap-tumbuh-di-tengah-ketidakpastian-global.html,
2025Q2,5.12,https://www.bps.go.id/assets/news/2025/08/05/741/pertumbuhan-ekonomi-triwulan-ii-2025-capai-5-12-persen.html,4.04,https://tradingeconomics.com/indonesia/gdp-growth,
2025Q3,5.04,https://www.bps.go.id/en/pressrelease/2025/11/05/2478/indonesia-s-economic-growth-in-q3-2025-was-5-04-percent--y-on-y-.html,1.43,https://tradingeconomics.com/indonesia/gdp-growth,TE news text cites revised 1.42 for this quarter; chart currently shows 1.43
2025Q4,5.39,https://www.bps.go.id/id/pressrelease/2026/02/05/2546/ekonomi-indonesia-tahun-2025-tumbuh-5-11-persen.html,0.86,https://www.bps.go.id/id/pressrelease/2026/02/05/2546/ekonomi-indonesia-tahun-2025-tumbuh-5-11-persen.html,
2026Q1,5.61,https://www.bps.go.id/en/pressrelease/2026/05/05/2575/indonesia-s-economic-growth-in-q1-2026-was-5-61-percent--y-on-y-.html,-0.77,https://www.bps.go.id/en/pressrelease/2026/05/05/2575/indonesia-s-economic-growth-in-q1-2026-was-5-61-percent--y-on-y-.html,
2026Q2,5.29,https://www.bps.go.id/en/pressrelease/2026/08/05/2605/indonesia-s-economic-in-q2-2026-was-5-29-percent--y-on-y-.html,3.73,https://www.bps.go.id/en/pressrelease/2026/08/05/2605/indonesia-s-economic-in-q2-2026-was-5-29-percent--y-on-y-.html,
